Store_ID,Store_Name,Store_City,Store_Location,Store_Open_Date
1,London Electronics,London,Central,01/01/2015
2,Manchester Electronics,Manchester,Deansgate,01/01/2016
3,Birmingham Electronics,Birmingham,Bullring,31/12/2016
4,Liverpool Electronics,Liverpool,One,31/12/2017
5,Leeds Electronics,Leeds,Trinity,31/12/2018
6,Glasgow Electronics,Glasgow,City Centre,31/12/2019
7,Bristol Electronics,Bristol,Cabot Circus,30/12/2020
8,Newcastle Electronics,Newcastle,Eldon Square,30/12/2021
9,Sheffield Electronics,Sheffield,Meadowhall,30/12/2022
10,Nottingham Electronics,Nottingham,Victoria Centre,30/12/2023
